videoId;title;channelTitle;channelId;description;publishedAt;url_thumb;viewCount;likeCount;dislikeCount;favoriteCount;commentCount
VGpGx3OTjow;França 4 x 3 Argentina - melhores momentos (GLOBO HD 720p) Copa do Mundo Rússia 2018;SoccerBrazil;UC4qfpfR0qpM7iaKuQfz6HPw;FRANÇA 4X3 ARGENTINA! Em jogo com duas viradas, França elimina Argentina com show de Mbappé Atacante de 19 anos assombra o mundo com ...;2019-05-21T19:34:23.000Z;https://i.ytimg.com/vi/VGpGx3OTjow/hqdefault.jpg;7944897;76475;5821;0;2239
wprhbc7of70;Brasil 2 x 0 México - melhores momentos (GLOBO HD 720p) Copa do Mundo Rússia 2018;SoccerBrazil;UC4qfpfR0qpM7iaKuQfz6HPw;BRASIL 2X0 MÉXICO! Neymar decide, mantém escrita contra o México e carrega Brasil às quartas Rival segue sem marcar em cinco encontros de Copa com a ...;2019-05-18T11:51:08.000Z;https://i.ytimg.com/vi/wprhbc7of70/hqdefault.jpg;2152937;37005;1690;0;1041
BpnKbyWWMqY;Portugal 3 x 3 Espanha - melhores momentos (GLOBO HD 720p) Copa do Mundo Rússia 2018;SoccerBrazil;UC4qfpfR0qpM7iaKuQfz6HPw;PORTUGAL 3X3 ESPANHA! Com Hat-trick de CR7, Portugal segura pressão e empata com a Espanha na estreia da Copa Aguardado desde o sorteio dos ...;2019-05-22T19:55:08.000Z;https://i.ytimg.com/vi/BpnKbyWWMqY/hqdefault.jpg;2725906;35394;1534;0;977
Hz_bOYPMaE8;Todos os Gols da Copa do Mundo 2018;Rodrigo Produções;UCcvSOjvnzOazIcbZb-5Zreg;;2019-06-30T11:30:24.000Z;https://i.ytimg.com/vi/Hz_bOYPMaE8/hqdefault.jpg;35792;0;0;0;140
9vLFzxL-PBU;Brasil 1 x 2 Bélgica - melhores momentos (GLOBO HD 720p) Copa do Mundo Rússia 2018;SoccerBrazil;UC4qfpfR0qpM7iaKuQfz6HPw;BRASIL 1X2 BÉLGICA! Arrasado por trio belga no 1º tempo, Brasil perde e está fora da Copa do Mundo De Bruyne, Hazard e Lukaku brilham com grandes ...;2019-05-18T18:44:51.000Z;https://i.ytimg.com/vi/9vLFzxL-PBU/hqdefault.jpg;400450;11230;666;0;2272
Y4W9KzvVq20;Todos os Jogos do Brasil na Copa do Mundo 2018;Rodrigo Produções;UCcvSOjvnzOazIcbZb-5Zreg;;2019-06-17T11:30:02.000Z;https://i.ytimg.com/vi/Y4W9KzvVq20/hqdefault.jpg;68654;0;0;0;366
gtjgLJvnhVM;Brasil 2 x 0 Costa Rica - melhores momentos (GLOBO HD 720p) Copa do Mundo Rússia 2018;SoccerBrazil;UC4qfpfR0qpM7iaKuQfz6HPw;BRASIL 2X0 COSTA RICA! Brasil faz dois nos acréscimos, e Neymar chora em vitória sofrida sobre a Costa Rica Em segundo tempo de gols perdidos e pênalti ...;2019-05-19T11:02:29.000Z;https://i.ytimg.com/vi/gtjgLJvnhVM/hqdefault.jpg;170815;6958;143;0;174
sjiw4qEAUns;Todos os jogos do Brasil na Copa do Mundo de 2018 HD;Gustavo Oliveira•;UCRO6HRAGH_LosRD5nBmKU4Q;;2019-04-20T15:03:56.000Z;https://i.ytimg.com/vi/sjiw4qEAUns/hqdefault.jpg;29710;740;49;0;99
JTu6YjZDecg;Os Momentos mais Épicos e Emocionantes da Copa Do Mundo Da Rússia 2018;InfoBall;UCYBzFzzMSakhooSpnrodFhA;Baixe Grátis o ONEFOOTBALL para ANDROID e IOS!! Clique no Link: https://tinyurl.com/infoball-7 Confira a Retrospectiva da Copa Do Mundo da Rússia 2018 ...;2018-10-23T21:58:19.000Z;https://i.ytimg.com/vi/JTu6YjZDecg/hqdefault.jpg;245404;10771;145;0;467
NHsnAD3NDJg;França 1 x 0 Bélgica - melhores momentos (GLOBO HD 720p) Copa do Mundo Rússia 2018;SoccerBrazil;UC4qfpfR0qpM7iaKuQfz6HPw;FRANÇA 1X0 BÉLGICA! Atrás do bi: com gol de Umtiti, França bate a Bélgica e avança à final Lloris segura o ataque belga, e franceses vencem com gol de ...;2019-05-25T12:09:19.000Z;https://i.ytimg.com/vi/NHsnAD3NDJg/hqdefault.jpg;637504;13005;502;0;641
iWZt6k47jUg;Croácia 2 x 1 Inglaterra - melhores momentos (GLOBO HD 720p) Copa do Mundo Rússia 2018;SoccerBrazil;UC4qfpfR0qpM7iaKuQfz6HPw;CROÁCIA 2X1 INGLATERRA! Geração 2018 supera a de 98: Croácia passa pela Inglaterra e decide a Copa com a França Vinte anos depois do terceiro lugar, ...;2019-05-28T12:01:15.000Z;https://i.ytimg.com/vi/iWZt6k47jUg/hqdefault.jpg;941236;17190;607;0;485
AitvShCKhuc;Brasil 1 x 1 Suiça - melhores momentos (GLOBO HD 720p) Copa do Mundo Rússia 2018;SoccerBrazil;UC4qfpfR0qpM7iaKuQfz6HPw;BRASIL 1X1 SUIÇA! Pintura de Coutinho e gol polêmico da Suíça: Brasil apenas empata na estreia da Copa Meia-atacante do Barcelona deixa a Seleção na ...;2019-05-20T13:58:14.000Z;https://i.ytimg.com/vi/AitvShCKhuc/hqdefault.jpg;90302;3446;53;0;183
IHPHwX-EmeQ;Colômbia 1 x 1 Inglaterra (Pênaltis 3-4) Copa do Mundo Rússia 2018 (GLOBO HD 720p);SoccerBrazil;UC4qfpfR0qpM7iaKuQfz6HPw;COLÔMBIA X INGLATERRA! Inglaterra despacha Colômbia em sua primeira vitória nos pênaltis na história da Copa Depois de tomar empate nos acréscimos ...;2019-05-31T11:35:04.000Z;https://i.ytimg.com/vi/IHPHwX-EmeQ/hqdefault.jpg;569078;12056;455;0;352
GdgJ8YkjeLo;França 4 x 2 Croácia HD Final da Copa do mundo 2018 (narração Galvão Bueno);FUT NEWS;UCyOx9fe6jwXkfgqXrycdkSQ;Relembre esse grande jogo!! França venceu e venceu muito bem!! Foi um jogaço!! Créditos ao canal: Futebol alta BR.;2019-01-04T00:21:12.000Z;https://i.ytimg.com/vi/GdgJ8YkjeLo/hqdefault.jpg;99107;2196;102;0;102
P53mPoUjDRg;Uruguai 2 x 1 Portugal - melhores momentos (HD 720p) Copa do Mundo Rússia 2018;SoccerBrazil;UC4qfpfR0qpM7iaKuQfz6HPw;URUGUAI 2X1 PORTUGAL! Cavani faz dois, Uruguai elimina Portugal de Cristiano Ronaldo e avança para pegar a França Celeste tem exibição cirúrgica e ...;2019-05-10T13:29:53.000Z;https://i.ytimg.com/vi/P53mPoUjDRg/hqdefault.jpg;436665;7468;430;0;325
